Time,Volts,Amps
0.7519531,10.8,0.000105003
0.7558594,10.9,0.0001050056
0.7607422,11.0,0.000105003
0.765625,11.1,0.0001050032
0.7695313,11.2,0.0001050022
0.7744141,11.3,0.0001050088
0.7792969,11.4,0.0001050144
0.7832031,11.5,0.0001050076
0.7880859,11.6,0.0001050037
0.7929688,11.7,0.0001049939
0.796875,11.8,0.0001050014
0.8017578,11.9,0.0001049948
0.8056641,12.0,0.0001050056
0.8105469,12.1,0.000105001
0.8154297,12.2,0.0001050022
0.8193359,12.3,0.0001050034
0.8242188,12.4,0.0001050066
0.8291016,12.5,0.000105002
0.8330078,12.6,0.0001050213
0.8378906,12.7,0.0001050056
0.8417969,12.8,0.0001050069
0.8466797,12.9,0.0001050147
0.8515625,13.0,0.0001049966
0.8554688,13.1,0.0001050036
0.8603516,13.2,0.0001050063
0.8652344,13.3,0.0001050073
0.8691406,13.4,0.0001050088
0.8740234,13.5,0.0001050042
0.8779297,13.6,0.0001049975
0.8828125,13.7,0.0001050098
0.8876953,13.8,0.0001050009
0.8916016,13.9,0.0001049966
0.8964844,14.0,0.000105011
0.9013672,14.1,0.0001050086
0.9052734,14.2,0.0001050008
0.9101563,14.3,0.0001049925
0.9140625,14.4,0.0001050076
0.9189453,14.5,0.0001049983
0.9238281,14.6,0.0001049971
0.9277344,14.7,0.0001050108
0.9326172,14.8,0.0001050039
0.9375,14.9,0.0001050017
0.9414063,15.0,0.0001050051
0.9462891,15.1,0.0001050017
0.9501953,15.2,0.0001050044
0.9550781,15.3,0.0001050047
0.9599609,15.4,0.0001050058
0.9638672,15.5,0.0001050061
0.96875,15.6,0.0001050057
0.9736328,15.7,0.0001049986
0.9775391,15.8,0.0001050007
0.9824219,15.9,0.000105003
0.9863281,16.0,0.0001050069
0.9912109,16.1,0.0001050008
0.9960938,16.2,0.0001050051
1.0,16.3,0.000105003
1.004883,16.4,0.0001050044
1.009766,16.5,0.0001050032
1.013672,16.6,0.0001049994
1.018555,16.7,0.0001050014
1.022461,16.8,0.0001050053
1.027344,16.9,0.0001050046
1.032227,17.0,0.0001050047
1.036133,17.1,0.000105003
1.041016,17.2,0.0001050042
1.045898,17.3,0.0001050034
1.049805,17.4,0.0001050051
1.054688,17.5,0.0001050046
1.058594,17.6,0.0001050098
1.063477,17.7,0.0001050022
1.068359,17.8,0.0001050046
1.072266,17.9,0.0001050047
1.077148,18.0,0.0001050068
1.082031,18.1,0.0001050054
1.085938,18.2,0.0001050027
1.09082,18.3,0.0001050233
1.094727,18.4,0.0001049976
1.099609,18.5,0.0001050088
1.104492,18.6,0.000105009
1.108398,18.7,0.0001050003
1.113281,18.8,0.000105021
1.118164,18.9,0.0001050014
1.12207,19.0,0.0001050022
1.126953,19.1,0.0001050076
1.130859,19.2,0.0001049927
1.135742,19.3,0.0001050107
1.140625,19.4,0.0001050047
1.144531,19.5,0.0001049993
1.149414,19.6,0.000105011
1.154297,19.7,0.0001050029
1.158203,19.8,0.0001050025
1.163086,19.9,0.0001050029
1.166992,20.0,0.0001050037
1.171875,20.1,0.0001050015
1.176758,20.2,0.0001050058
1.180664,20.3,0.0001050128
1.185547,20.4,0.0001049922
1.19043,20.5,0.0001050003
1.194336,20.6,0.0001050066
1.199219,20.7,0.0001049993
1.204102,20.8,0.0001050044
1.208008,20.9,0.0001050078
1.212891,21.0,0.000105003
1.216797,21.1,0.0001050242
1.22168,21.2,0.0001050073
1.226563,21.3,0.0001050054
1.230469,21.4,0.0001050024
1.235352,21.5,0.0001050111
1.240234,21.6,0.0001050057
1.244141,21.7,0.0001050034
1.249023,21.8,0.0001050081
1.25293,21.9,0.0001050061
1.257813,22.0,0.0001050022
1.262695,22.1,0.0001050064
1.266602,22.2,0.0001050025
1.271484,22.3,0.0001050073
1.276367,22.4,0.0001050054
1.280273,22.5,0.0001050127
1.285156,22.6,0.0001050066
1.290039,22.7,0.0001050091
1.293945,22.8,0.0001050041
1.298828,22.9,0.0001050036
1.302734,23.0,0.0001050086
1.307617,23.1,0.0001050134
1.3125,23.2,0.0001049937
1.316406,23.3,0.0001050059
1.321289,23.4,0.0001050034
1.326172,23.5,0.0001050069
1.330078,23.6,0.00010501
1.334961,23.7,0.0001050017
1.338867,23.8,0.0001049976
1.34375,23.9,0.0001050059
1.348633,24.0,0.0001050073
1.352539,24.1,0.0001050066
1.357422,24.2,0.0001050049
1.362305,24.3,0.0001050015
1.366211,24.4,0.0001050053
1.371094,24.5,0.0001050017
1.375977,24.6,0.0001050137
1.379883,24.7,0.0001050019
1.384766,24.8,0.0001050124
1.388672,24.9,0.0001049992
1.393555,25.0,0.0001050042
1.398438,25.1,0.0001050193
1.402344,25.2,0.0001050049
1.407227,25.3,0.0001050166
1.412109,25.4,0.000104998
1.416016,25.5,0.0001050012
1.420898,25.6,0.0001050095
1.424805,25.7,0.0001050145
1.429688,25.8,0.0001050009
1.43457,25.9,0.0001050061
1.438477,26.0,0.0001050083
1.443359,26.1,0.0001050103
1.448242,26.2,0.0001050093
1.452148,26.3,0.0001049925
1.457031,26.4,0.0001050078
1.461914,26.5,0.0001050071
1.46582,26.6,0.0001050009
1.470703,26.7,0.0001050053
1.474609,26.8,0.000105003
1.479492,26.9,0.0001049981
1.484375,27.0,0.0001050019
1.488281,27.1,0.0001050112
1.493164,27.2,0.0001050032
1.498047,27.3,0.0001050014
1.501953,27.4,0.0001049965
1.506836,27.5,0.000105012
1.510742,27.6,0.0001049956
1.515625,27.7,0.0001050039
1.520508,27.8,0.0001050005
1.524414,27.9,0.0001050056
1.529297,28.0,0.0001050054
1.53418,28.1,0.0001050047
1.538086,28.2,0.0001050064
1.542969,28.3,0.0001050049
1.546875,28.4,0.0001050111
1.551758,28.5,0.0001050027
1.556641,28.6,0.0001050073
1.560547,28.7,0.0001050122
1.56543,28.8,0.0001049944
1.570313,28.9,0.0001050052
1.574219,29.0,0.0001050144
1.579102,29.1,0.0001050054
1.583984,29.2,0.0001050074
1.587891,29.3,0.0001050039
1.592773,29.4,0.0001050054
1.59668,29.5,0.0001050073
1.601563,29.6,0.0001050086
1.606445,29.7,0.0001050002
1.610352,29.8,0.0001050084
1.615234,29.9,0.0001050216
1.620117,30.0,0.0001050025
1.624023,30.1,0.0001050122
1.628906,30.2,0.0001050012
1.632813,30.3,0.0001050085
1.637695,30.4,0.000105
1.642578,30.5,0.0001050037
1.646484,30.6,0.0001050054
1.651367,30.7,0.0001050073
1.65625,30.8,0.0001050081
1.660156,30.9,0.0001050058
1.665039,31.0,0.0001050019
1.668945,31.1,0.0001049981
1.673828,31.2,0.0001050058
1.678711,31.3,0.0001050073
1.682617,31.4,0.0001050007
1.6875,31.5,0.0001049986
1.692383,31.6,0.0001049998
1.696289,31.7,0.000105011
1.701172,31.8,0.0001050093
1.706055,31.9,0.0001050068
1.709961,32.0,0.0001050081
1.714844,32.1,0.000105
1.71875,32.2,0.0001050058
1.723633,32.3,0.0001050074
1.728516,32.4,0.0001050086
1.732422,32.5,0.000105008
1.737305,32.6,0.0001050054
1.742188,32.7,0.0001049985
1.746094,32.8,0.0001050053
1.750977,32.9,0.0001050024
1.754883,33.0,0.0001050068
1.759766,33.1,0.0001050017
1.764648,33.2,0.0001050076
1.768555,33.3,0.0001050078
1.773438,33.4,0.0001050027
1.77832,33.5,0.0001050161
1.782227,33.6,0.000105009
1.787109,33.7,0.0001050088
1.791016,33.8,0.0001049995
1.795898,33.9,0.0001050061
1.800781,34.0,0.000104999
1.804688,34.1,0.0001050074
1.80957,34.2,0.0001050091
1.814453,34.3,0.0001050003
1.818359,34.4,0.0001050107
1.823242,34.5,0.0001050068
1.827148,34.6,0.0001050085
1.832031,34.7,0.000105008
1.836914,34.8,0.0001049902
1.84082,34.9,0.0001050019
1.845703,35.0,0.0001050103
1.850586,35.1,0.0001050088
1.854492,35.2,0.0001050044
1.859375,35.3,0.0001050301
1.863281,35.4,0.0001050069
1.868164,35.5,0.0001050061
1.873047,35.6,0.0001050058
1.876953,35.7,0.000104999
1.881836,35.8,0.0001050053
1.886719,35.9,0.0001050019
1.890625,36.0,0.0001050069
1.895508,36.1,0.0001050039
1.899414,36.2,0.0001050053
1.904297,36.3,0.0001050076
1.90918,36.4,0.000105003
1.913086,36.5,0.000105008
1.917969,36.6,0.0001050024
1.922852,36.7,0.0001050032
1.926758,36.8,0.0001050076
1.931641,36.9,0.0001050085
1.935547,37.0,0.0001050059
1.94043,37.1,0.0001050073
1.945313,37.2,0.0001050039
1.949219,37.3,0.0001050147
1.954102,37.4,0.0001050123
1.958984,37.5,0.0001050088
1.962891,37.6,0.0001050025
1.967773,37.7,0.0001050014
1.97168,37.8,0.0001050218
1.976563,37.9,0.0001050081
1.981445,38.0,0.0001050007
1.985352,38.1,0.0001050007
1.990234,38.2,0.0001050063
1.995117,38.3,0.0001050084
1.999023,38.4,0.0001050022
2.003906,38.5,0.0001050053
2.008789,38.6,0.0001050015
2.012695,38.7,0.0001050019
2.017578,38.8,0.000105002
2.021484,38.9,0.0001050076
2.026367,39.0,0.0001050027
2.03125,39.1,0.0001050025
2.035156,39.2,0.0001050052
2.040039,39.3,0.0001049964
2.044922,39.4,0.0001049941
2.048828,39.5,0.0001050014
2.053711,39.6,0.0001050066
2.058594,39.7,0.0001050052
2.0625,39.8,0.0001050066
2.067383,39.9,0.0001049958
2.071289,40.0,0.0001050106
2.076172,40.1,0.0001050068
2.081055,40.2,0.0001050049
2.084961,40.3,0.0001050081
2.089844,40.4,0.0001049978
2.094727,40.5,0.0001050091
2.098633,40.6,0.0001049968
2.103516,40.7,0.0001050225
2.108398,40.8,0.0001050051
2.112305,40.9,0.0001050027
2.117188,41.0,0.0001050022
2.121094,41.1,0.0001050063
2.125977,41.2,0.000105008
2.130859,41.3,0.0001049969
2.134766,41.4,0.0001050056
2.139648,41.5,0.0001050036
2.144531,41.6,0.0001050074
2.148438,41.7,0.0001050083
2.15332,41.8,0.0001050208
2.157227,41.9,0.0001049991
2.162109,42.0,0.0001050049
2.166992,42.1,0.0001050022
2.170898,42.2,0.0001050012
2.175781,42.3,0.0001050074
2.180664,42.4,0.0001050061
2.18457,42.5,0.0001050095
2.189453,42.6,0.0001049966
2.194336,42.7,0.000104998
2.198242,42.8,0.0001050074
2.203125,42.9,0.0001050181
2.207031,43.0,0.0001050157
2.211914,43.1,0.0001050037
2.216797,43.2,0.0001050054
2.220703,43.3,0.0001049986
2.225586,43.4,0.0001050054
2.230469,43.5,0.0001050205
2.234375,43.6,0.0001050096
2.239258,43.7,0.0001050085
2.243164,43.8,0.000105013
2.248047,43.9,0.0001050074
2.25293,44.0,0.0001050115
2.256836,44.1,0.0001050188
2.261719,44.2,0.0001050047
2.266602,44.3,0.0001050093
2.270508,44.4,0.0001050009
2.275391,44.5,0.0001050096
2.280273,44.6,0.0001050017
2.28418,44.7,0.0001050046
2.289063,44.8,0.0001050056
2.292969,44.9,0.0001049998
2.297852,45.0,0.0001049997
2.302734,45.1,0.0001049998
2.306641,45.2,0.0001050022
2.311523,45.3,0.000105011
2.316406,45.4,0.0001050019
2.320313,45.5,0.0001050068
2.325195,45.6,0.0001050071
2.329102,45.7,0.0001050053
2.333984,45.8,0.0001050071
2.338867,45.9,0.0001050071
2.342773,46.0,0.0001050022
2.347656,46.1,0.0001050071
2.352539,46.2,0.000105
2.356445,46.3,0.0001049961
2.361328,46.4,0.0001050074
2.366211,46.5,0.0001050081
2.370117,46.6,0.0001050049
2.375,46.7,0.0001050096
2.378906,46.8,0.0001050106
2.383789,46.9,0.0001050088
2.388672,47.0,0.0001050061
2.392578,47.1,0.0001050054
2.397461,47.2,0.0001049988
2.402344,47.3,0.0001050117
2.40625,47.4,0.0001050037
2.411133,47.5,0.0001050049
2.415039,47.6,0.0001050076
